served_from,latency_ms
llm,1590
llm,1379
llm,23662
llm,18500
llm,5661
llm,997
cache,0
cache,0
cache,0
cache,0
llm,11312
llm,2963
cache,0
llm,15752
llm,3468
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
llm,19536
cache,0
cache,0
llm,12618
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
llm,6983
cache,0
llm,20467
cache,0
llm,12668
cache,0
llm,948
llm,30356
llm,19470
cache,0
cache,0
cache,0
cache,0
cache,0
llm,13939
cache,0
llm,17574
cache,0
cache,0
cache,0
cache,0
llm,13156
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
llm,19208
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,1
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,1
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,1
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,1
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
cache,0
